BusinessMonth,count_Transactions,count_TotalItems,count_UsedItems,count_NewItems,total_Sales,count_UsedSales,count_NewSales,count_Used100Pct,count_UsedOver75Pct,count_UsedOver50Pct,count_NewOver50Pct,count_NewOver75Pct,count_New100Pct
1/1/2013,967845,3485687,2630112,855575,14804619.75,10648124.1,4156495.65,526304,610413,758590,209255,171523,153532
2/1/2013,820046,3176286,2428456,747830,13146143.92,9514731.78,3631412.14,447515,524455,651414,168632,135338,119197
3/1/2013,1024538,3719564,2865981,853583,15707167.3,11520940.26,4186227.04,584687,671473,819880,204658,166723,148405
4/1/2013,825560,3128719,2460052,668667,13107337.96,9825024.16,3282313.8,482417,555184,673608,151952,122993,109420
5/1/2013,941620,3755773,2926094,829679,15239228.62,11371105.31,3868123.31,531569,623482,765809,175811,140233,123588
6/1/2013,951886,3592828,2803928,788900,15231998.04,11294454.36,3937543.68,547055,634007,774793,177093,142775,126985
7/1/2013,1093014,4003888,3129517,874371,16394619.61,12292230.07,4102389.54,642960,736373,888245,204769,169978,154522
8/1/2013,1008625,3909962,3125337,784625,15968803.53,12136521.45,3832282.08,599072,692508,833618,175007,142565,127795
9/1/2013,859563,3296997,2636471,660526,13503867.49,10149170.24,3354697.25,511657,590647,710894,148669,120532,107462
10/1/2013,814297,3120201,2429373,690828,13000599.26,9433303.27,3567295.99,466615,538947,656586,157711,128645,114456
11/1/2013,1016919,3662811,2635087,1027724,16117714.93,11040914.44,5076800.49,522963,610932,765336,251583,208823,186130
12/1/2013,1191317,4589835,3022099,1567736,22402640.37,14587542.59,7815097.78,524622,630262,838053,353264,283532,241458
1/1/2014,892137,3202708,2380630,822078,13916831.26,9783682.22,4133149.04,472157,549326,689331,202806,166184,148635
2/1/2014,783010,3034915,2263038,771877,12688744.37,8929002.03,3759742.34,409345,482670,609079,173931,139277,121956
3/1/2014,1011605,3604518,2692615,911903,15531871.7,10770949.16,4760922.54,539133,624179,779155,232450,191324,171602
4/1/2014,795959,3071292,2269349,801943,12926338.95,9152820.98,3773517.97,394883,471842,616258,179701,143455,126234
5/1/2014,930693,3883581,2742823,1140758,15252161.98,10717945.44,4534216.54,379306,487648,702710,227983,175084,150688
6/1/2014,928984,3642008,2614320,1027688,15140765.56,10539240.5,4601525.06,411871,510651,710441,218543,170182,148517
7/1/2014,1094577,4055378,3009364,1046014,16432048.57,11896132.86,4535915.71,531694,638661,854857,239720,193235,173275
8/1/2014,1001850,3992184,3024240,967944,16026217.43,11767765.91,4258451.52,496950,604258,798773,203077,159985,141115
9/1/2014,813638,3135461,2402547,732914,12873448.62,9496971.4,3376477.22,426120,507868,656197,157441,125084,110779
10/1/2014,804663,3140450,2392135,748315,13051523.58,9457841.69,3593681.89,419912,498847,642909,161754,129023,114147
11/1/2014,940701,3455051,2447016,1008035,15749155.38,10650376.18,5098779.2,461866,545398,703728,236973,194177,171116
12/1/2014,1239668,4696772,3063835,1632937,23884894.76,15291003.13,8593891.63,538187,646285,864647,375021,301526,257161
1/1/2015,933417,3301788,2491818,809970,14781175.76,10465461.81,4315713.95,502894,583984,730361,203056,167036,150150
2/1/2015,743303,2808998,2174552,634446,12267957.34,8818697.31,3449260.03,410105,479762,596326,146977,117890,104664
3/1/2015,963178,3372001,2589276,782725,14969687.31,10782541.82,4187145.49,545016,625069,766237,196941,162131,145848
4/1/2015,762696,2822633,2223387,599246,12575941,9229571.66,3346369.34,444288,510713,621215,141481,114787,102823
5/1/2015,900015,3459106,2688809,770297,15175914.8,10993276.07,4182638.73,501612,587365,725679,174336,140060,124498
6/1/2015,873538,3214628,2506913,707715,14534561.17,10558355.28,3976205.89,495888,573992,705849,167689,135565,121612
7/1/2015,1041597,3630747,2838559,792188,16056232.7,11689371.67,4366861.03,597626,683966,832532,209065,174672,159700
8/1/2015,907659,3319102,2630569,688533,14950834.9,11053557.84,3897277.06,531681,610876,740842,166817,136919,123889
9/1/2015,835580,3192493,2523459,669034,13777875.98,10109722.69,3668153.29,484775,562798,683542,152038,122994,109846
10/1/2015,781613,2903922,2269655,634267,13043734.57,9381976,3661758.57,451302,519200,630808,150805,123596,110707
11/1/2015,929248,3305105,2371840,933265,15365894.9,10407946.7,4957948.2,481857,560811,700298,228950,190459,169678
12/1/2015,1197134,4491239,2941460,1549779,23825105.54,15008077.9,8817027.64,529666,631464,834192,362942,294361,251959
1/1/2016,909316,3171381,2419081,752300,14781321.77,10515216.99,4266104.78,507585,582793,717285,192031,159081,143555
2/1/2016,773163,2911687,2280012,631675,12998626.65,9550058.93,3448567.72,445405,516248,629908,143255,115325,102301
3/1/2016,934414,3236266,2517211,719055,14681599.89,10783067.38,3898532.51,545909,621780,752332,182082,150992,136710
4/1/2016,769677,2859064,2272311,586753,13206834.89,9871429.17,3335405.72,461635,529035,636284,133393,107987,96169
5/1/2016,882867,3363083,2632818,730265,15275858.75,11200603.02,4075255.73,508025,588967,718637,164230,132717,118291
6/1/2016,840795,3042841,2377471,665370,14292058.54,10461318.24,3830740.3,485074,558597,683105,157690,128243,115224
7/1/2016,1019640,3480250,2740323,739927,16159654.63,11890605.42,4269049.21,601018,682440,820652,198988,167802,154286
8/1/2016,855419,3048779,2428319,620460,14301058.84,10627645.27,3673413.57,514903,585332,700650,154769,128892,117263
9/1/2016,796645,3003442,2391003,612439,13539898.74,10078065.3,3461833.44,474623,546168,655987,140658,114347,102502
10/1/2016,742844,2701392,2100824,600568,12827428.55,9290234.93,3537193.62,432117,494330,598816,144028,118318,106006
11/1/2016,881432,3037006,2175450,861556,14983303.78,10206086.56,4777217.22,461381,532260,662429,219003,182873,164001
12/1/2016,1118391,4114469,2728231,1386238,22782162.97,14750636.44,8031526.53,510169,603631,790472,327919,266525,229272
1/1/2017,833502,2794488,2154230,640258,13793643.29,10076980.46,3716662.83,482680,546578,664514,168988,140839,128091
2/1/2017,723512,2614500,2056189,558311,12473416.12,9309137.09,3164279.03,423940,486666,591458,132054,107453,96355
3/1/2017,911073,3050966,2373843,677123,14730291.44,11016972.63,3713318.81,543711,612900,735601,175472,146540,132797
4/1/2017,729183,2620879,2068515,552364,12969238.22,9803396.67,3165841.55,436890,497380,598761,130422,105912,94715
5/1/2017,840222,3086313,2402665,683648,15114473.69,11227407.7,3887065.99,485805,559319,680161,160061,130783,117027
6/1/2017,804621,2824003,2188756,635247,14254913.51,10542897.39,3712016.12,465992,533288,651056,153565,125377,112611
7/1/2017,1001499,3275994,2567598,708396,16322834.47,12363990.76,3958843.71,598535,674225,807855,193644,163954,150866
8/1/2017,800180,2775804,2199236,576568,13729499.92,10574764.39,3154735.53,480894,545628,655472,144708,120228,109332
9/1/2017,767428,2811203,2235347,575856,13599527.94,10391264.04,3208263.9,464773,530950,635696,131732,107056,95713
10/1/2017,701232,2476440,1923240,553200,12581737.35,9257883.06,3323854.29,413498,470078,566745,134487,110449,98940
11/1/2017,876492,2954599,2096754,857845,15502000.63,10832828.68,4669171.95,461708,532778,659419,217073,181819,162616
12/1/2017,1059255,3845134,2555118,1290016,22291166.63,14986883.36,7304283.27,492720,582539,758290,300965,243568,209462
1/1/2018,774437,2551963,1971672,580291,13347592.35,9959299.44,3388292.91,456025,514659,622105,152332,127103,115352
2/1/2018,671037,2423509,1913845,509664,12261922.99,9342660.32,2919262.67,400525,458193,553442,117595,95224,84978
3/1/2018,915216,3016566,2319621,696945,15544874.01,11738669.01,3806205,544345,612299,735917,179299,148509,133756
4/1/2018,674845,2384244,1887347,496897,12506557.06,9608039.97,2898517.09,413380,467264,558576,116269,94440,84157
5/1/2018,768268,2821265,2226045,595220,14485495.95,11127825.83,3357670.12,460425,526113,632296,135972,110525,98291
6/1/2018,786318,2756512,2169140,587372,14568385.54,11119731.56,3448653.98,471436,536187,646385,139933,113802,101856
7/1/2018,946443,3087927,2446090,641837,15932491.42,12300089.61,3632401.81,583484,651553,772232,174211,147181,135313
8/1/2018,810937,2829822,2250457,579365,14641004.68,11390162.11,3250842.57,496336,560835,668774,142163,117804,106724
9/1/2018,742327,2693794,2157596,536198,13812152.78,10705309.79,3106842.99,456603,519877,618945,123382,100105,89443
10/1/2018,659865,2328520,1870034,458486,12380442.59,9571302.92,2809139.67,418013,468845,551238,108627,89727,80574
11/1/2018,822444,2790867,2087876,702991,15098021.75,11283413.34,3814608.41,472211,541998,651253,171191,143016,128442
12/1/2018,1046723,3786125,2592190,1193935,22727223.9,15698095.82,7029128.08,511710,603849,769395,277328,224944,193804
1/1/2019,750390,2425684,1896469,529215,13381852.45,10117176.88,3264675.57,456011,510151,607873,142517,119868,109613
2/1/2019,637757,2269554,1837303,432251,12022481.94,9455425.93,2567056.01,402768,454622,536747,101010,81997,73361
3/1/2019,874661,2854458,2273503,580955,15351377.91,12043754.43,3307623.48,555589,618064,725408,149253,124354,112682
4/1/2019,636119,2226802,1799314,427488,12272414.1,9701813.13,2570600.97,408267,456544,535549,100570,81935,72942
5/1/2019,751146,2726035,2185408,540627,14611536.97,11477908.04,3133628.93,468733,530021,627513,123633,100295,89335
6/1/2019,744873,2581828,2044457,537371,14263266.91,11067956.7,3195310.21,459250,517891,617362,127511,103599,92557
7/1/2019,905614,2902432,2319898,582534,15599267.58,12303776.84,3295490.74,575638,637262,746350,159264,135119,124132
